epoch,iter,iter_time,learning_rate,loss,step,val_loss,val_ppl
1,370,0.20735744386911392,8.862648611181145e-06,0.06600936502218246,370,,
1,375,0.3900177087634802,8.832884107445138e-06,0.04087148234248161,375,,
1,380,0.21239417232573032,8.802786513025069e-06,0.038219790905714035,380,,
1,385,0.20683390088379383,8.772358443504404e-06,0.09275104850530624,385,,
1,390,0.21056491509079933,8.741602543186029e-06,0.014601868577301502,390,,
1,395,0.2058966774493456,8.710521484862435e-06,0.018202723935246468,395,,
1,400,0.4553444478660822,8.679117969583459e-06,0.0226634219288826,400,,
1,405,0.2062908038496971,8.647394726421542e-06,0.0451161190867424,405,,
1,410,0.20369194447994232,8.615354512234565e-06,0.037299878895282745,410,,
1,415,0.20823690481483936,8.583000111426273e-06,0.02428273670375347,415,,
1,420,0.2061884105205536,8.550334335704295e-06,0.02892046421766281,420,,
